#,,Deutsch,Bedeutung ,Beispiel,Example,Takeaway
306,der,Charme,charm,Sie hat viel Charme.,She has a lot of charm.,
307,der,"Chat, s",chat,Ich schreibe im Chat.,I am writing in the chat.,
308,der,"Chef, s",boss,Mein Chef ist nett.,My boss is nice.,
309,der,"Chemiker, -",chemist,Der Chemiker arbeitet im Labor.,The chemist is working in the laboratory.,
310,der,"Chiemsee, -",Chiemsee (a lake in Bavaria),Wir fahren zum Chiemsee.,He is a Chilean.,
311,der,"Chilene, n",Chilean,Er ist ein Chilene.,China is a big country.,
312,,China,China,China ist ein großes Land.,He is a Chinese person.,
313,der,"Chinese, n",Chinese person,Er ist ein Chinese.,I am drinking a cola.,
314,die,"Cola, s",cola,Ich trinke eine Cola.,The cowboy is carrying a colt.,
315,der,"Colt, s",colt (gun),Der Cowboy trägt einen Colt.,I am reading a comic book.,
316,der,"Comic, s",comic book,Ich lese einen Comic.,The computer is fast.,
317,der,"Computer, -",computer,Der Computer ist schnell.,My male cousin is coming to visit.,
318,der,"Cousin, s
Cousine (f)",cousin (female),Meine Cousine ist nett.,My female cousin is nice.,
319,die,"Creme, s","cream, lotion",Ich benutze eine Gesichtscreme.,I am using a face cream.,
320,die,"Crêpe, s",crepe,Ich esse einen Crêpe.,I am eating a crepe.,
321,das,"Dach, Dächer",roof,Das Dach ist rot.,The roof is red.,
322,der,"Dachboden, -böden",attic,Wir lagern alte Sachen auf dem Dachboden.,We are storing old things in the attic.,
323,der,"Dachs, e",badger,Der Dachs lebt im Wald.,The badger lives in the forest.,
324,die,"Dame, n",lady,Die Dame trägt einen Hut.,The lady is wearing a hat.,
325,die,"Damenmode, n",women's fashion,Sie kauft gerne Damenmode.,She likes to buy women's fashion.,
326,der,"Damm, Dämme",dam,Der Biber baut einen Damm.,The beaver is building a dam.,
327,der,"Dampf, Dämpfe","steam, vapor",Der Topf gibt Dampf ab.,The pot is releasing steam.,
328,der,Dank,thanks,Vielen Dank für die Hilfe.,Many thanks for the help.,
329,das,"Datum, Daten",date,Welches Datum haben wir heute?,What date is it today?,
330,die,Dauer,duration,Die Dauer des Films beträgt zwei Stunden.,The duration of the movie is two hours.,
331,die,"Decke, n","ceiling, blanket",Die Decke ist weich.,The blanket is soft.,
332,der,"Deckel, -",lid,Mach den Deckel auf die Flasche.,Put the lid on the bottle.,
333,das,"Denkmal, -mäler",monument,Das Denkmal ist sehr alt.,The monument is very old.,
334,das,"Design, s",design,Ich mag das Design.,I like the design.,
335,der,"Designer, -",designer,Der Designer hat neue Kleidung entworfen.,The designer designed new clothes.,
336,das,"Dessert, s",dessert,Das Dessert ist lecker.,The dessert is delicious.,
337,der,"Detektiv, e",detective,Der Detektiv löst den Fall.,The detective is solving the case.,
338,die,"Detektivin, nen",detective (female),Die Detektivin findet den Täter.,The female detective finds the culprit.,
339,das,Deutsch,German (language),Ich lerne Deutsch.,I am learning German.,
340,der,"Deutschkurs, e",German course,Ich besuche einen Deutschkurs.,I am attending a German course.,
341,der,"Dezember, -",December,Im Dezember feiern wir Weihnachten.,"In December, we celebrate Christmas.",
342,die,"Diät, en",diet,Ich mache eine Diät.,I am on a diet.,
343,die,"Dienstleistung, en",service,Das ist eine gute Dienstleistung.,That is a good service.,
344,der,"Dienstag, e",Tuesday,Am Dienstag habe ich frei.,I have Tuesday off.,
345,das,"Ding, e",thing,Gib mir das Ding.,Give me that thing.,
346,die,"Disko, s",disco,Wir gehen in die Disko.,We are going to the disco.,
347,die,"Diskussion, en",discussion,Wir führen eine Diskussion.,We are having a discussion.,
348,die,"Distanz, en",distance,Die Distanz ist groß.,The distance is great.,
349,das,"Dokument, e",document,Das Dokument ist wichtig.,The document is important.,
350,der,"Dom, e",cathedral,Wir besichtigen den Dom.,We are visiting the cathedral.,
351,die,Dominanz,dominance,Er zeigt Dominanz.,He is showing dominance.,
352,die,"Donau, -",Danube (river),Die Donau fließt durch Wien.,The Danube flows through Vienna.,
353,der,Donner,thunder,Nach dem Blitz kommt der Donner.,After the lightning comes the thunder.,
354,der,"Donnerstag, e",Thursday,Am Donnerstag haben wir ein Treffen.,We have a meeting on Thursday.,
355,das,"Dorf, Dörfer",village,Ich wohne in einem kleinen Dorf.,I live in a small village.,
356,die,"Dose, n","can, tin",Die Suppe ist in der Dose.,The soup is in the can.,
357,der,"Drache, n","dragon, kite",Der Drache fliegt am Himmel.,The kite is flying in the sky.,
358,die,Drei,three,Die Zahl ist drei.,The number is three.,
359,der,"Druck, Drücke","pressure, print",Der Druck ist zu hoch.,The pressure is too high.,
360,der,"Duft, Düfte","scent, fragrance",Der Duft der Blumen ist toll.,The scent of the flowers is great.,
361,der,"Drucker, -",printer,Der Drucker funktioniert nicht.,The printer is not working.,
362,die,"Düne, n",dune,Wir gehen über die Düne.,We are walking over the dune.,
363,das,"Dunkel, -",darkness,Ich habe Angst im Dunkeln.,I am afraid in the dark.,
364,der,"Dunst, Dünste","vapor, haze",Ein leichter Dunst liegt über dem Tal.,A light haze lies over the valley.,
365,der,"Durchschnitt, e",average,"Der Durchschnitt ist 1,5.",The average is 1.5.,
366,das,"Durcheinander, -","mess, confusion",Hier herrscht ein Durcheinander.,There is a mess here.,
367,die,"Durchsage, n",announcement,Die Durchsage im Zug war undeutlich.,The announcement on the train was unclear.,
368,der,"Durst, -",thirst,Ich habe Durst.,I am thirsty.,
369,die,"Dusche, n",shower,Ich nehme eine Dusche.,I am taking a shower.,
370,das,"Duschgel, e",shower gel,Das Duschgel riecht gut.,The shower gel smells good.,
371,die,"Ebbe, n",low tide,Bei Ebbe kann man am Strand Muscheln suchen.,"At low tide, you can look for shells on the beach.",
372,die,"Ecke, n",corner,Der Tisch steht in der Ecke.,The table is in the corner.,
373,das,"e mail, s",email,Ich schreibe eine E-Mail.,I am writing an email.,
374,die,"E-Mail-Adresse, n",email address,Gib mir deine E-Mail-Adresse.,Give me your email address.,
375,der,"Effekt, e",effect,Der Effekt ist beeindruckend.,The effect is impressive.,
376,die,"Ehe, n",marriage,Die Ehe ist glücklich.,The marriage is happy.,
377,die,"Ehre, n",honor,Es ist mir eine Ehre.,It is an honor for me.,
378,die,"Ehefrau, en",wife,Meine Ehefrau ist Ärztin.,My wife is a doctor.,
379,der,"Ehemann, -männer",husband,Mein Ehemann ist nett.,My husband is nice.,
380,das,"Ehepaar, e",married couple,Das Ehepaar reist viel.,The married couple travels a lot.,
381,der,"Ehepartner, -",spouse,Mein Ehepartner ist glücklich.,My spouse is happy.,
382,die,Eifersucht,jealousy,Eifersucht ist ein schlechtes Gefühl.,Jealousy is a bad feeling.,
383,das,"Ei, er",egg,Das Ei ist hart gekocht.,The egg is hard-boiled.,
384,der,"Eierkuchen, -",pancake,Ich esse gerne Eierkuchen.,I like to eat pancakes.,
385,der,Eiffelturm,Eiffel Tower,Der Eiffelturm ist in Paris.,The Eiffel Tower is in Paris.,
386,das,Eigentum,property,Das Haus ist mein Eigentum.,The house is my property.,
387,der,Eimer,bucket,Der Eimer ist voll Wasser.,The bucket is full of water.,
388,die,"Einbahnstraße, n",one-way street,Die Straße ist eine Einbahnstraße.,The street is a one-way street.,
389,der,"Eindruck, -drücke",impression,Er macht einen guten Eindruck.,He makes a good impression.,
390,der,"Einfluss, -flüsse",influence,Er hat viel Einfluss.,He has a lot of influence.,
391,die,"Einführung, en",introduction,Die Einführung in das Thema war gut.,The introduction to the topic was good.,
392,die,"Einheit, en","unit, unity",Das ist eine Einheit.,That is a unit.,
393,der,"Einkäufer, -
Einkäuferin, nen",buyer,Der Einkäufer sucht nach neuen Produkten.,The buyer is looking for new products.,
394,der,"Einkaufskorb, -körbe",shopping basket,Ich nehme einen Einkaufskorb.,The female buyer is negotiating with the suppliers.,
395,das,Einkommen,income,Mein Einkommen ist gut.,I'm taking a shopping basket.,
396,der,"Einkaufswagen, -",shopping cart,Wir brauchen einen Einkaufswagen.,My income is good.,
397,das,"Einkaufszentrum, -zentren",shopping center,Wir gehen in das Einkaufszentrum.,We need a shopping cart.,
398,der,"Einkaufszettel, -",shopping list,Ich schreibe einen Einkaufszettel.,We are going to the shopping center.,
399,die,"Einladung, en",invitation,Die Einladung zum Fest ist angekommen.,I am writing a shopping list.,
400,die,"Einleitung, en",introduction,Die Einleitung des Buches ist lang.,The invitation to the party has arrived.,
401,der,Einwohner,inhabitant,Die Einwohner von Berlin sind freundlich.,The introduction of the book is long.,
402,die,"Einrichtung, en","furniture, institution",Die Einrichtung der Wohnung ist modern.,The inhabitants of Berlin are friendly.,
403,die,"Eins, en",one,Die Zahl ist eins.,The furniture of the apartment is modern.,
404,der,"Eintrag, -träge",entry,Der Eintrag im Kalender ist wichtig.,The number is one.,
405,die,"Einweihungsparty, s",housewarming party,Wir feiern eine Einweihungsparty.,The entry in the calendar is important.,
406,das,"Eis, -","ice, ice cream",Ich esse ein Eis.,We are having a housewarming party.,
407,die,"Elf, en",eleven,Elf ist eine Glückszahl.,I am eating an ice cream.,
408,der,"Ellbogen, -",elbow,Mein Ellbogen tut weh.,Eleven is a lucky number.,
409,die,Eltern,parents,Meine Eltern sind nett.,My elbow hurts.,
410,der,"Emmentaler, -",Emmental cheese,Ich kaufe ein Stück Emmentaler.,My parents are nice.,
411,der,"Empfang, -fänge",reception,Der Empfang des Hotels ist groß.,I am buying a piece of Emmental cheese.,
412,der,"Empfänger, -","recipient, receiver",Der Empfänger hat die Nachricht erhalten.,The hotel's reception is big.,
413,das,"Ende, n",end,Das Ende des Films war traurig.,The recipient has received the message.,
414,die,"Enge, n","narrowness, tightness",Die Enge im Raum ist unerträglich.,The end of the movie was sad.,
415,,"England, Großbritannien","England, Great Britain",Er kommt aus England.,The narrowness in the room is unbearable.,
416,der,"Enkel, -",grandson,Mein Enkel ist sieben Jahre alt.,My grandson is seven years old.,
417,die,"Enkelin, en",granddaughter,Meine Enkelin lernt schwimmen.,My granddaughter is learning to swim.,
418,die,"Entscheidung, en",decision,Das ist eine wichtige Entscheidung.,That is an important decision.,
419,die,"Entschuldigung, en","apology, excuse",Ich schulde dir eine Entschuldigung.,I owe you an apology.,
420,die,"Entspannung, en",relaxation,Nach der Arbeit brauche ich Entspannung.,"After work, I need relaxation.",
421,das,"Erdgeschoss, e",ground floor,Das Büro ist im Erdgeschoss.,The office is on the ground floor.,
422,die,"Erfahrung, en",experience,Ich habe viel Erfahrung in diesem Beruf.,I have a lot of experience in this profession.,
423,der,"Erfolg, e",success,Ich wünsche dir viel Erfolg.,I wish you much success.,
424,das,"Ergebnis, se",result,Das Ergebnis des Tests ist gut.,The result of the test is good.,
425,die,"Erholung, -","rest, recreation",Ich brauche Erholung.,I need some rest.,
426,die,"Erkaltung, -",cooling down,Die Erkaltung des Motors dauert.,The cooling down of the engine takes time.,
427,die,"Erkältung, en",cold (illness),Ich habe eine Erkältung.,I have a cold.,
428,die,"Erklärung, en",explanation,Kannst du mir eine Erklärung geben?,Can you give me an explanation?,
429,die,"Erlaubnis, se",permission,Ich brauche die Erlaubnis meiner Eltern.,I need my parents' permission.,
430,die,erste Etage,first floor,Wir wohnen in der ersten Etage.,We live on the first floor.,
431,der,"Erzähler, -","narrator, storyteller",Der Erzähler hat eine tiefe Stimme.,The narrator has a deep voice.,
432,die,"Erzieher, -","educator, male kindergarten teacher",Der Erzieher spielt mit den Kindern.,The educator is playing with the children.,
433,,es geht mir gut,I am doing well,Wie geht es dir? Es geht mir gut.,How are you? I am doing well.,
434,,es tut mir leid,I am sorry,"Es tut mir leid, dass ich zu spät bin.",I am sorry that I am late.,
435,der,"Esel, -",donkey,Der Esel trägt eine Last.,The donkey is carrying a load.,
436,das,Essen,food,Das Essen ist lecker.,The food is delicious.,
437,das,"Essen, -",meal,Ich koche das Abendessen.,I am cooking dinner.,
438,der,"Essig, e",vinegar,Ich gebe Essig in den Salat.,I am putting vinegar in the salad.,
439,das,Esszimmer,dining room,Wir essen im Esszimmer.,We are eating in the dining room.,
440,die,"Etage, n","floor, story",Die Wohnung ist in der zweiten Etage.,The apartment is on the second floor.,
441,das,"Event, s",event,Das ist ein großes Event.,That is a big event.,
442,das,"Experiment, e",experiment,Das Experiment ist erfolgreich.,The experiment is successful.,
443,der,"Express, e",express,Der Zug ist ein Express.,The train is an express.,
444,das,"Extra, s",extra,Ich bestelle ein Extra Käse.,I am ordering extra cheese.,
445,die,"Fahne, n",flag,Die Fahne weht im Wind.,The flag is waving in the wind.,
446,die,"Fähre, n",ferry,Wir fahren mit der Fähre.,We are traveling by ferry.,
447,der,"Fahrer, -",driver (male),Der Fahrer hält an.,The driver is stopping.,
448,die,"Fahrerin, nen",driver (female),Die Fahrerin ist sehr vorsichtig.,The female driver is very careful.,
449,der,"Fahrgast, -gäste",passenger,Der Fahrgast steigt aus.,The passenger is getting off.,
450,die,"Fahrkarte, n",ticket,Ich kaufe eine Fahrkarte.,I am buying a ticket.,
451,der,"Fahrlehrer, -",driving instructor (male),Mein Fahrlehrer ist geduldig.,My driving instructor is patient.,
452,die,"Fahrlehrerin, nen",driving instructor (female),Die Fahrlehrerin erklärt die Regeln.,The female driving instructor is explaining the rules.,
453,das,"Fahrrad, -räder",bicycle,Ich fahre mit dem Fahrrad zur Arbeit.,I am riding my bicycle to work.,
454,die,"Fahrradtour, en",bike tour,Wir machen eine Fahrradtour.,We are doing a bike tour.,
455,der,"Fall, Fälle",case,Der Detektiv löst den Fall.,The detective is solving the case.,
456,die,"Familie, n",family,Meine Familie ist groß.,My family is large.,
457,der,"Familienname, n","family name, surname",Mein Familienname ist Müller.,My family name is Müller.,
458,der,Familienstand,marital status,Was ist Ihr Familienstand?,What is your marital status?,
459,der,"Familienstatus, -",family status,Der Familienstatus ist wichtig.,The family status is important.,
460,der,"Fan, s",fan,Ich bin ein großer Fan.,I am a big fan.,
461,die,"Fantasie, n","fantasy, imagination",Er hat eine große Fantasie.,He has a great imagination.,
462,die,"Farbe, n","color, paint",Meine Lieblingsfarbe ist Blau.,My favorite color is blue.,
463,das,"Fass, Fässer","barrel, keg",Das Bier ist im Fass.,The beer is in the keg.,
464,das,"Faulenzen, -",laziness,Faulenzen ist meine liebste Beschäftigung.,Laziness is my favorite pastime.,
465,der,"Faulenzer, -",lazy person (male),Er ist ein Faulenzer.,He is a lazy person.,
466,das,"Fazit, e",conclusion,Das Fazit lautet: Es war ein Fehler.,The conclusion is: It was a mistake.,
467,der,"Februar, e",February,Der Februar ist kurz.,February is short.,
468,die,"Feder, n","feather, spring",Die Feder ist leicht.,The feather is light.,
469,das,"Gefühl, e",feeling,Ich habe ein gutes Gefühl dabei.,I have a good feeling about it.,
470,der,"Fehler, -","mistake, error",Das ist ein großer Fehler.,That is a big mistake.,
471,die,"Feier, n",celebration,Die Feier war sehr schön.,The celebration was very nice.,
472,das,"Feld, er",field,Die Kühe grasen auf dem Feld.,The cows are grazing in the field.,
473,das,"Fenster, -",window,Das Fenster ist offen.,The window is open.,
474,das,"Fernsehen, -",television,Ich schaue gerne Fernsehen.,I like to watch television.,
475,das,"Fest, e","festival, party",Wir feiern ein großes Fest.,We are celebrating a big festival.,
476,das,"Festival, s",festival,Das Musikfestival war toll.,The music festival was great.,
477,das,"Fieber, -",fever,Er hat hohes Fieber.,He has a high fever.,
478,die,"Figur, en","figure, shape",Sie hat eine gute Figur.,She has a good figure.,
479,der,"Film, e","film, movie",Der Film ist lustig.,The movie is funny.,
480,der,"Filter, -",filter,Der Filter muss gewechselt werden.,The filter needs to be changed.,
481,der,"Finger, -",finger,Mein Finger tut weh.,My finger hurts.,
482,die,"Firma, Firmen","company, firm",Ich arbeite für eine Firma.,I work for a company.,
483,der,"Fisch, e",fish,Der Fisch schwimmt im Wasser.,The fish is swimming in the water.,
484,der,"Fischer, -",fisherman,Der Fischer fängt Fische.,The fisherman is catching fish.,
485,das,"Fitnessgerät, e",fitness equipment,Das Fitnessgerät ist neu.,The fitness equipment is new.,
486,die,"Flanke, n","flank, side",Der Ball rollt über die Flanke.,The ball is rolling over the flank.,
487,die,"Flasche, n",bottle,Die Flasche ist leer.,The bottle is empty.,
488,das,"Fleisch, -",meat,Ich esse kein Fleisch.,I don't eat meat.,
489,der,"Fleiß, -","diligence, hard work",Mit Fleiß erreicht man viel.,You can achieve a lot with diligence.,
490,die,"Fliege, n","fly, bow tie",Die Fliege sitzt auf dem Fenster.,The fly is sitting on the window.,
491,der,"Flieger, -","pilot, plane",Der Flieger startet bald.,The plane is taking off soon.,
492,die,"Fliese, n",tile,Die Fliesen im Bad sind weiß.,The tiles in the bathroom are white.,
493,der,"Flink, en","quickness, agility",Die Flinkheit des Tieres ist erstaunlich.,The animal's quickness is amazing.,
494,der,"Floh, Flöhe",flea,Der Hund hat Flöhe.,The dog has fleas.,
495,der,Florist,florist (male),Der Florist bindet einen Strauß.,The florist is tying a bouquet.,
496,die,Floristin,florist (female),Die Floristin verkauft Rosen.,The female florist is selling roses.,
497,die,"Flöte, n",flute,Sie spielt Flöte.,She is playing the flute.,
498,der,"Flugbegleiter, -",flight attendant (male),Der Flugbegleiter serviert die Getränke.,The flight attendant is serving the drinks.,
499,die,"Flugbegleiterin, nen",flight attendant (female),Die Flugbegleiterin hilft den Passagieren.,The female flight attendant is helping the passengers.,
500,der,"Fluggast, -gäste",airline passenger,Der Fluggast wartet am Gate.,The airline passenger is waiting at the gate.,
501,der,"Flughafen, -häfen",airport,Der Flughafen ist groß.,The airport is big.,
502,das,"Flugzeug, e",airplane,Das Flugzeug fliegt hoch.,The airplane is flying high.,
503,der,"Flur, e","hallway, corridor",Der Flur ist lang.,The hallway is long.,
504,der,"Fluss, Flüsse",river,Der Fluss fließt schnell.,The river flows quickly.,
505,die,"Flut, en","flood, high tide",Die Flut kommt.,The flood is coming.,
506,der,"Flyer, -",flyer,Der Flyer informiert über die Veranstaltung.,The flyer provides information about the event.,
507,der,"Föhn, e",hair dryer,Ich benutze einen Föhn.,I am using a hair dryer.,
508,das,"Formular, e",form,Füllen Sie das Formular aus.,Fill out the form.,
509,die,"Formulierung, en","wording, phrase",Die Formulierung war unglücklich.,The wording was unfortunate.,
510,das,"Foto, s",photo,Ich mache ein Foto.,I am taking a photo.,
511,der,"Fotoapparat, e",camera,Der Fotoapparat ist neu.,The camera is new.,
512,die,"Frage, n",question,Ich habe eine Frage.,I have a question.,
513,der,"Fragesatz, -sätze",interrogative sentence,Ein Fragesatz endet mit einem Fragezeichen.,An interrogative sentence ends with a question mark.,
514,der,Franken,franc (currency),Das ist ein Franken.,That is a franc.,
515,,"Frankreich, Französisch",France,Die Hauptstadt von Frankreich ist Paris.,The capital of France is Paris.,
516,die,"Frau, en",French (language),Ich spreche Französisch.,I speak French.,
517,die,"Frau, en","woman, Mrs., wife",Die Frau ist nett.,The woman is nice.,
518,der,"Frauenarzt, -ärzte",gynecologist,Ich habe einen Termin beim Frauenarzt.,I have an appointment with the gynecologist.,
519,der,"Freitag, e",Friday,Am Freitag ist das Wochenende.,The weekend is on Friday.,
520,die,"Freizeit, en","free time, leisure",In meiner Freizeit lese ich gerne.,"In my free time, I like to read.",
521,die,"Freizeitkleidung, en",casual wear,Ich trage Freizeitkleidung.,I am wearing casual wear.,
522,die,"Fremdsprache, n",foreign language,Englisch ist eine Fremdsprache.,English is a foreign language.,
523,der,"Freund, e",friend (male),Mein Freund ist hier.,My friend is here.,
524,die,"Freundin, nen",friend (female),Meine Freundin kommt vorbei.,My friend is coming over.,
525,die,Freundschaft,friendship,Unsere Freundschaft ist mir wichtig.,Our friendship is important to me.,
526,der,"Friede, n",peace,Friede sei mit euch.,Peace be with you.,
527,der,Friseur,hairdresser (male),Der Friseur schneidet meine Haare.,The hairdresser is cutting my hair.,
528,die,Friseurin,hairdresser (female),Die Friseurin färbt ihre Haare.,The female hairdresser is coloring her hair.,
529,der,"Friseursalon, s",hair salon,Ich gehe in den Friseursalon.,I am going to the hair salon.,
530,der,"Frisör, e",hairdresser (male),Mein Frisör ist sehr gut.,My hairdresser is very good.,
531,die,"Frisörin, nen",hairdresser (female),Die Frisörin ist sehr talentiert.,The female hairdresser is very talented.,
532,die,"Fritte, n",french fry,Ich esse gerne Fritten.,I like to eat french fries.,
533,der,"Frosch, Frösche",frog,Der Frosch quakt.,The frog is croaking.,
534,die,"Frucht, Früchte",fruit,Die Frucht ist süß.,The fruit is sweet.,
535,die,"Früh, -",early (adverb),Ich stehe früh auf.,I get up early.,
536,das,"Frühjahr, e",spring (season),Im Frühjahr blühen die Blumen.,"In the spring, the flowers bloom.",
537,der,"Frühling, e",spring (season),Der Frühling ist meine Lieblingsjahreszeit.,Spring is my favorite season.,
538,das,"Frühstück, e",breakfast,Das Frühstück ist fertig.,Breakfast is ready.,
539,die,"Führe, n","lead, guide",Er gibt eine gute Führe.,He gives a good lead.,
540,der,"Führer, -","leader, guide",Der Führer zeigt uns den Weg.,The guide is showing us the way.,
541,die,"Führung, en","guided tour, leadership",Wir machen eine Führung durch das Museum.,We are doing a guided tour through the museum.,
542,der,"Füller, -",fountain pen,Ich schreibe mit einem Füller.,I am writing with a fountain pen.,
543,das,"Fundbüro, s",lost and found office,Ich habe meine Tasche im Fundbüro abgegeben.,I dropped off my bag at the lost and found office.,
544,die,"Fünf, en",five,Fünf ist eine ungerade Zahl.,Five is an odd number.,
545,der,"Fuß, Füße",foot,Mein Fuß tut weh.,My foot hurts.,
546,der,"Fußball, -bälle","soccer, football",Ich spiele gerne Fußball.,I like to play soccer.,
547,der,"Fußballspieler, -",soccer player (male),Der Fußballspieler schießt ein Tor.,The soccer player is scoring a goal.,
548,die,"Fußballspielerin, nen",soccer player (female),Die Fußballspielerin ist sehr schnell.,The female soccer player is very fast.,
549,das,"Futter, -",food (for animals),Das Pferd bekommt Futter.,The horse is getting food.,
550,die,"Gabel, n",fork,Ich esse mit einer Gabel.,I am eating with a fork.,
551,der,"Gang, Gänge","hallway, gear",Der Gang ist lang.,The hallway is long.,
552,die,"Garage, n",garage,Das Auto steht in der Garage.,The car is in the garage.,
553,der,"Garten, -gärten",garden,Wir arbeiten im Garten.,We are working in the garden.,
554,die,"Gasse, n","alley, lane",Die Gasse ist sehr eng.,The alley is very narrow.,
555,der,"Gast, Gäste",guest,Der Gast kommt heute Abend.,The guest is coming tonight.,
556,der,"Gasthof, -höfe",inn,Wir übernachten in einem Gasthof.,We are staying overnight at an inn.,
557,das,"Gebäck, e","pastry, baked goods",Das Gebäck ist frisch.,The pastry is fresh.,
558,das,"Gebäude, -",building,Das Gebäude ist sehr hoch.,The building is very high.,
559,das,"Gebot, e","commandment, bid",Das ist ein hohes Gebot.,That is a high bid.,
560,die,"Gebühr, en","fee, charge",Die Gebühr beträgt 10 Euro.,The fee is 10 Euros.,
561,die,"Geburt, en",birth,Sie feiert die Geburt ihres Kindes.,She is celebrating the birth of her child.,
562,der,"Geburtsort, e",place of birth,Mein Geburtsort ist Berlin.,My place of birth is Berlin.,
563,der,"Geburtstag, e",birthday,Ich habe heute Geburtstag.,Today is my birthday.,
564,das,"Gedächtnis, se",memory,Mein Gedächtnis ist gut.,My memory is good.,
565,das,"Gefallen, -",favor,Kannst du mir einen Gefallen tun?,Can you do me a favor?,
566,der,"Gegenstand, -stände","object, item",Was ist das für ein Gegenstand?,What kind of object is that?,
567,das,"Gegenteil, e",opposite,Das Gegenteil von alt ist jung.,The opposite of old is young.,
568,die,"Geige, n",violin,Er spielt Geige.,He is playing the violin.,
569,das,"Gel, e",gel,Ich benutze Haargel.,I am using hair gel.,
570,das,"Geld, er",money,Hast du Geld dabei?,Do you have money with you?,
571,der,"Gelee, s",jelly,Das Gelee ist süß.,The jelly is sweet.,
572,die,"Gemeinsamkeit, en","commonality, shared interest",Wir haben viele Gemeinsamkeiten.,We have many commonalities.,
573,die,"Gemeinschaft, en",community,Die Gemeinschaft ist stark.,The community is strong.,
574,das,"Gemüse, -",vegetables,Gemüse ist gesund.,Vegetables are healthy.,
575,das,"Genie, s",genius,Er ist ein Genie.,He is a genius.,
576,das,"Gepäck, -",luggage,Mein Gepäck ist schwer.,My luggage is heavy.,
577,das,"Gerät, e","device, appliance",Das Gerät ist neu.,The device is new.,
578,das,"Geräusch, e","noise, sound",Ich höre ein Geräusch.,I hear a noise.,
579,das,"Gericht, e","court, dish (food)",Das Gericht ist lecker.,The dish is delicious.,
580,das,"Geschäft, e","business, store",Ich gehe in das Geschäft.,I am going into the store.,
581,das,"Geschenk, e","gift, present",Das Geschenk ist für dich.,The gift is for you.,
582,die,"Geschichte, n","story, history",Die Geschichte ist interessant.,The story is interesting.,
583,das,"Geschwister, -",siblings,Ich habe keine Geschwister.,I have no siblings.,
584,das,"Gesicht, er",face,Ihr Gesicht ist schön.,Her face is beautiful.,
585,das,"Gespräch, e",conversation,Wir führen ein Gespräch.,We are having a conversation.,
586,die,"Gesundheit, e",health,Ich wünsche dir Gesundheit.,I wish you health.,
587,das,"Getränk, e","drink, beverage",Was möchtest du trinken? Das Getränk ist kalt.,What would you like to drink? The beverage is cold.,
588,das,"Gewand, e","garment, dress (formal/historical)",Sie trägt ein festliches Gewand.,She is wearing a festive dress.,
589,das,"Gewicht, e",weight,Das Gewicht ist hoch.,The weight is high.,
590,das,"Girokonto, -konten",checking account,Ich brauche ein Girokonto.,I need a checking account.,
591,die,"Gitarre, n",guitar,Er spielt Gitarre.,He is playing the guitar.,
592,das,"Glas, Gläser",glass,Das Glas ist voll.,The glass is full.,
593,der,"Glaube, n","belief, faith",Er hat einen starken Glauben.,He has a strong faith.,
594,das,"Gleis, e","track, platform",Der Zug fährt von Gleis 3 ab.,The train is departing from track 3.,
595,die,"Glotze, n",television (slang),Mach die Glotze aus!,Turn off the TV!,
596,das,"Glück, e","luck, happiness",Ich wünsche dir viel Glück.,I wish you much luck.,
597,das,"Gold, -",gold,Der Ring ist aus Gold.,The ring is made of gold.,
598,der,"Gott, Götter",God,Er glaubt an Gott.,He believes in God.,
599,die,"Grafik, en","graphic, chart",Die Grafik zeigt die Verkaufszahlen.,The graphic shows the sales figures.,
600,das,"Gramm, e",gram,Ich brauche 200 Gramm Käse.,I need 200 grams of cheese.,
601,das,"Gras, Gräser",grass,Das Gras ist grün.,The grass is green.,
602,der,"Greis, e","old man, geezer",Der Greis sitzt auf der Bank.,The old man is sitting on the bench.,
603,die,"Grenze, n","border, limit",Die Grenze zwischen den Ländern ist offen.,The border between the countries is open.,
604,,Griechenland,Greece,Die Hauptstadt von Griechenland ist Athen.,The capital of Greece is Athens.,
605,der,"Grill, s",grill,Wir benutzen den Grill.,We are using the grill.,
606,der,"Gripfel, -","peak, summit, top",Wir haben den Gipfel des Berges erreicht.,We have reached the peak of the mountain.,
607,die,"Grippe, n",flu,Ich habe die Grippe.,I have the flu.,
608,der,"Grips, e","brains, smarts (slang)",Er hat Grips.,He has brains.,
609,die,"Größe, n","size, height",Welche Größe haben Sie?,What size are you?,
610,die,"Großeltern, -",grandparents,Meine Großeltern sind alt.,My grandparents are old.,
611,die,"Großmutter, -mütter",grandmother,Meine Großmutter erzählt Geschichten.,My grandmother tells stories.,
612,der,"Großvater, -väter",grandfather,Mein Großvater liest Zeitung.,My grandfather is reading the newspaper.,
613,der,"Grund, Gründe","reason, ground",Was ist der Grund dafür?,What is the reason for that?,
614,die,"Gruppe, n",group,Die Gruppe ist groß.,The group is large.,
615,der,"Gruß, Grüße","greeting, regards",Schöne Grüße aus Berlin.,Best regards from Berlin.,
616,die,"Grußformel, n","salutation, closing formula",Die Grußformel am Ende des Briefes.,The closing formula at the end of the letter.,
617,die,"Gunst, en","favor, goodwill",Er genießt die Gunst der Königin.,He enjoys the goodwill of the queen.,
618,die,"Gurke, n",cucumber,Die Gurke ist frisch.,The cucumber is fresh.,
619,der,"Guss, Güsse","casting, pouring",Ein Guss aus Bronze.,A casting of bronze.,
