,,,,,,,,Präsens,,,,,,Präteritum,,,,,,,,,
205,reg,einlangen,to arrive/to be received (Austrian),Das Paket ist eingelangen.,The package has arrived.,,,lange ein,langst ein,langt ein,langen ein,langt ein,langen ein,langte ein,langtest ein,langte ein,langten ein,langtet ein,langten ein,eingelangt,,,
206,reg,einsetzen,to insert/to use,Er setzt den Schlüssel ins Schloss ein.,He inserts the key into the lock.,sich,,setze ein,etzt ein,etzt ein,setzen ein,etzt ein,setzen ein,setzte ein,etztest ein,setzte ein,etzten ein,etztet ein,etzten ein,eingesetzt,,,
207,reg,einsteigen,to get on/to get into (a vehicle),Wir steigen in den Zug ein.,We are getting on the train.,,,steige ein,steigst ein,steigt ein,steigen ein,steigt ein,steigen ein,stieg ein,stiegst ein,stieg ein,stiegen ein,stiegt ein,stiegen ein,eingestiegen,,,
208,unr,empfinden,to feel/to perceive,Er empfindet Schmerz.,He is feeling pain.,sich,,empfinde,empfindest,empfindet,empfinden,empfindet,empfinden,empfand,empfandest,empfand,empfanden,empfandet,empfanden,empfunden,,,
209,reg,engagieren,"to engage, hire",Die Firma engagiert neue Experten.,The company hires new experts.,sich,für (A),engagiere,engagierst,engagiert,engagieren,engagiert,engagieren,engagierte,engagiertest,engagierte,engagierten,engagiertet,engagierten,engagiert,,,
210,reg,engen,"to narrow, tighten",Die Schuhe engen meine Füße ein.,The shoes squeeze my feet.,,,enge,engst,engt,engen,engt,engen,engte,engtest,engte,engten,engtet,engten,geengt,,,
211,reg,entdecken,to discover,Er entdeckt einen neuen Planeten.,He is discovering a new planet.,,,entdecke,entdeckst,entdeckt,entdecken,entdeckt,entdecken,entdeckte,entdecktest,entdeckte,entdeckten,entdecktet,entdeckten,entdeckt,x,,
212,reg,entfernen,to remove,Er entfernt den Fleck.,He is removing the stain.,sich,,entferne,entfernst,entfernt,entfernen,entfernt,entfernen,entfernte,entferntest,entfernte,entfernten,entferntet,entfernten,entfernt,x,,
213,unr,entscheiden,to decide,Sie entscheidet sich für das rote Kleid.,She is deciding on the red dress.,sich,"für, gegen (A)",entscheide,entscheidest,entscheidet,entscheiden,entscheidet,entscheiden,entschied,entschiedest,entschied,entschieden,entschiedet,entschieden,entschieden,,,
214,unr,entschließen,to decide/to resolve,"Ich entschließe mich, zu reisen.",I am deciding to travel.,sich,,entschließe,entschließt,entschließt,entschließen,entschließt,entschließen,entschloss,entschlossest,entschloss,entschlossen,entschlosst,entschlossen,entschlossen,x,,
215,reg,entschuldigen,"to excuse, apologize",Bitte entschuldigen Sie die Verspätung.,Please excuse the delay.,sich,bei (D) für (A),entschuldige,entschuldigst,entschuldigt,entschuldigen,entschuldigt,entschuldigen,entschuldigte,entschuldigtest,entschuldigte,entschuldigten,entschuldigtet,entschuldigten,entschuldigt,,,
216,reg,entspannen ,to relax,Wir entspannen uns am Strand.,We relax on the beach.,sich,,entspanne,entspannst,entspannt,entspannen,entspannt,entspannen,entspannte,entspanntest,entspannte,entspannten,entspanntet,entspannten,entspannt,,,
217,unr,entsprechen,to correspond to/to match,Das entspricht nicht den Regeln.,That doesn't correspond to the rules.,,,entspreche,entsprichst,entspricht,entsprechen,entsprecht,entsprechen,entsprach,entsprachst,entsprach,entsprachen,entspracht,entsprachen,entsprochen,,,
218,reg,entwickeln,to develop,Sie entwickelt eine neue Software.,She is developing new software.,sich,,entwickle,entwickelst,entwickelt,entwickeln,entwickelt,entwickeln,entwickelte,entwickeltest,entwickelte,entwickelten,entwickeltet,entwickelten,entwickelt,x,,
219,reg,ergänzen,"to complete, add to",Bitte ergänzen Sie den Text.,Please complete the text.,,,ergänze,ergänzt,ergänzt,ergänzen,ergänzt,ergänzen,ergänzte,ergänztest,ergänzte,ergänzten,ergänztet,ergänzten,ergänzt,,,
220,unr,erhalten,to receive/to get,Ich erhalte eine E-Mail.,I am receiving an email.,,,erhalte,erhältst,erhält,erhalten,erhaltet,erhalten,erhielt,erhieltst,erhielt,erhielten,erhieltet,erhielten,erhalten,x,,
221,reg,erhöhen,"to increase, raise",Die Firma erhöht die Preise.,The company raises the prices.,,,erhöhe,erhöhst,erhöht,erhöhen,erhöht,erhöhen,erhöhte,erhöhtest,erhöhte,erhöhten,erhöhtet,erhöhten,erhöht,,,
222,reg,erinnern ,"to remind, remember",Er erinnert mich an meinen Bruder.,He reminds me of my brother.,sich,an (A),erinnere,erinnerst,erinnert,erinnern,erinnert,erinnern,erinnerte,erinnertest,erinnerte,erinnerten,erinnertet,erinnerten,erinnert,,,
223,reg,erkalten,to cool down,Die Suppe ist erkaltet.,The soup has cooled down.,sich,,erkalte,erkaltest,erkaltet,erkalten,erkaltet,erkalten,erkaltete,erkaltestest,erkaltete,erkalteten,erkaltetet,erkalteten,erkaltet,,,
224,reg,erkälten,to catch a cold,Er hat sich erkältet.,He caught a cold.,sich,,erkälte,erkältest,erkältet,erkälten,erkältet,erkälten,erkältete,erkältetest,erkältete,erkälteten,erkältetet,erkälteten,erkältet,,,
225,unr,erkennen,to recognize/to see,Ich erkenne dich an deiner Stimme.,I recognize you by your voice.,sich,,erkenne,erkennst,erkennt,erkennen,erkennt,erkennen,erkannte,erkanntest,erkannte,erkannten,erkanntet,erkannten,erkannt,x,,
226,reg,erklären,to explain,Die Lehrerin erklärt die Grammatik.,The teacher explains the grammar.,sich,,erkläre,erklärst,erklärt,erklären,erklärt,erklären,erklärte,erklärtest,erklärte,erklärten,erklärtet,erklärten,erklärt,,,
227,reg,erlauben,"to allow, permit",Rauchen ist hier nicht erlaubt.,Smoking is not allowed here.,sich,,erlaube,erlaubst,erlaubt,erlauben,erlaubt,erlauben,erlaubte,erlaubtest,erlaubte,erlaubten,erlaubtet,erlaubten,erlaubt,,,
228,reg,erledigen,to do/to take care of,Ich muss eine Aufgabe erledigen.,I have to take care of a task.,,,erledige,erledigst,erledigt,erledigen,erledigt,erledigen,erledigte,erledigtest,erledigte,erledigten,erledigtet,erledigten,erledigt,x,,
229,reg,erlösen,"to redeem, save",Der Ritter erlöste die Prinzessin.,The knight rescued the princess.,,,erlöse,erlöst,erlöst,erlösen,erlöst,erlösen,erlöste,erlöstest,erlöste,erlösten,erlöstet,erlösten,erlöst,,,
230,reg,eröffnen ,to open/to inaugurate,Ich eröffne das Fenster.,I open the window.,,,eröffne,eröffnest,eröffnet,eröffnen,eröffnet,eröffnen,eröffnete,eröffnetest,eröffnete,eröffneten,eröffnetet,eröffneten,eröffnet,,,
231,reg,erreichen,to reach,Wir haben das Ziel erreicht.,We have reached the goal.,,,erreiche,erreichst,erreicht,erreichen,erreicht,erreichen,erreichte,erreichtest,erreichte,erreichten,erreichtet,erreichten,erreicht,,,
232,unr,erschaffen,to create/to make,Er erschafft ein Kunstwerk.,He is creating a work of art.,,,erschaffe,erschaffst,erschafft,erschaffen,erschafft,erschaffen,erschuf,erschufst,erschuf,erschufen,erschuft,erschufen,erschaffen,, kreieren,
233,unr,erscheinen,to appear/to seem,Sie erscheint müde.,She seems tired.,,,erscheine,erscheinst,erscheint,erscheinen,erscheint,erscheinen,erschien,erschienst,erschien,erschienen,erschient,erschienen,erschienen,,,
234,unr,erscheinen,to appear/to be published,Das Buch erscheint nächste Woche.,The book is being published next week.,,,,,,,,,,,,,,,,,,
235,reg,erwarten,to expect,Ich erwarte einen Anruf.,I expect a call.,,,erwarte,erwartest,erwartet,erwarten,erwartet,erwarten,erwartete,erwartetest,erwartete,erwarteten,erwartetet,erwarteten,erwartet,,,
236,reg,erzählen,to tell,Er erzählt eine Geschichte.,He tells a story.,,,erzähle,erzählst,erzählt,erzählen,erzählt,erzählen,erzählte,erzähltest,erzählte,erzählten,erzähltet,erzählten,erzählt,,,
237,reg,erzeugen,to produce/to generate,Die Fabrik erzeugt Strom.,The factory is generating electricity.,,,erzeuge,erzeugst,erzeugt,erzeugen,erzeugt,erzeugen,erzeugte,erzeugtest,erzeugte,erzeugten,erzeugtet,erzeugten,erzeugt,,"hervorbringen (produce), herstellen (manufacture)",
238,unr,erziehen,to raise/to educate (a child),Sie erzieht ihre Kinder gut.,She is raising her children well.,,,erziehe,erziehst,erzieht,erziehen,erzieht,erziehen,erzog,erzogst,erzog,erzogen,erzogt,erzogen,erzogen,x,,
239,unr,essen,to eat,Wir essen Pizza.,We eat pizza.,,,esse,isst ,isst,essen ,esst,essen ,aß,aßest,aß,aßen,aßet,aßen,gegessen ,,,
240,reg,experimentieren ,to experiment,Sie experimentieren mit Chemikalien.,They experiment with chemicals.,,,experimentiere,experimentierst,experimentiert,experimentieren,experimentiert,experimentieren,experimentierte,experimentiertest,experimentierte,experimentierten,experimentiertet,experimentierten,experimentiert,,,
241,unr,fahren,to drive/to go by vehicle,Ich fahre nach Berlin.,I drive to Berlin.,,,fahre,fährst,fährt ,fahren,fahrt,fahren ,fuhr,fuhrst,fuhr,fuhren,fuhrt,fuhren,gefahren,,,
242,unr,fallen,to fall,Der Apfel fällt vom Baum.,The apple falls from the tree.,,,falle,fällst,fällt,fallen,fallt,fallen,fiel,fielst,fiel,fielen,fielt,fielen,gefallen ,,,
243,unr,fangen,to catch,Er fängt den Ball.,He catches the ball.,,,fange,fängst,fängt,fangen,fangt,fangen,fing,fingst,fing,fingen,fingt,fingen,gefangen,,,
244,reg,fantasieren ,to fantasize,Sie fantasiert von einer Reise.,She fantasizes about a trip.,,,fantasiere,fantasierst,fantasiert,fantasieren,fantasiert,fantasieren,fantasierte,fantasiertest,fantasierte,fantasierten,fantasiertet,fantasierten,fantasiert,,,
245,reg,faulenzen ,to be lazy/to lounge,Am Sonntag faulenzen wir.,"On Sunday, we're lazy.",,,faulenze,faulenzst,faulenzt,faulenzen,faulenzt,faulenzen,faulenzte,faulenztest,faulenzte,faulenzten,faulenztet,faulenzten,gefaulenzt,,,
246,unr,fehlen,to be missing/to lack,Mir fehlt die Zeit.,I lack time.,,,fehle,fehlst,fehlt,fehlen,fehlt,fehlen,fehlte,fehltest,fehlte,fehlten,fehltet,fehlten,gefehlt,,,
247,reg,feien,to be immune,Die Kinder feien gegen die Krankheit.,The children are immune to the illness.,,,feie,feist,feit,feien,feit,feien,feite,feitest,feite,feiten,feitet,feiten,gefeit,,,
248,reg,feiern,to celebrate,Wir feiern meinen Geburtstag.,We celebrate my birthday.,,,feiere,feierst,feiert,feieren,feiert,feieren,feierte,feiertest,feierte,feierten,feiertet,feierten,gefeiert,,,
249,unr,fern.  sehen,to watch TV,Ich sehe abends fern.,I watch TV in the evenings.,,,sehe.  fern,siehst.  fern,sieht.  fern,sehen.  fern,seht.  fern,sehen.  fern,sah.  fern,sahst.  fern,sah.  fern,sahen.  fern,saht.  fern,sahen.  fern,ferngesehen ,,,
250,reg,fest.  legen,to determine/to define,Wir legen den Termin fest.,We are determining the date.,,,lege. fest,legst. fest,legt. fest,legen. fest,legt. fest,legen. fest,legte. fest,legtest. fest,legte. fest,legten. fest,legtet. fest,legten. fest,festgelegt,,,
251,reg,fiebern ,to have a fever,Das Kind fiebert.,The child has a fever.,,,fiebere,fieberst,fiebert,fiebern,fiebert,fiebern,fieberte,fiebertest,fieberte,fieberten,fiebertet,fieberten,gefiebert,,,
252,unr,finden,to find,Ich finde mein Buch nicht.,I can't find my book.,,,finde,findest,findet,finden,findet,finden,fand,fandest,fand,fanden,fandet,fanden,gefunden,,,
253,reg,fingern,to finger (to touch with fingers),"Er fing an, an seinem Bart zu fingern.",He started to finger his beard.,,,fingere,fingerst,fingert,fingern,fingert,fingern,fingerte,fingertest,fingerte,fingerten,fingertet,fingerten,gefingert,,,
254,unr,fliehen,to flee/to escape,Er flieht vor der Gefahr.,He is fleeing from the danger.,,vor (D),fliehe,fliehst,flieht,fliehen,flieht,fliehen,floh,flohst,floh,flohen,floht,flohen,geflohen,x,,
255,unr,fließen,to flow,Das Wasser fließt den Fluss hinunter.,The water is flowing down the river.,,,fließe,fließt,fließt,fließen,fließt,fließen,floss,flossest,floss,flossen,flosst,flossen,geflossen,x,,
256,reg,flüchten,to flee/to escape,Sie flüchtet aus dem Haus.,She is fleeing from the house.,,vor (D),flüchte,flüchtest,flüchtet,flüchten,flüchtet,flüchten,flüchtete,flüchtetest,flüchtete,,,,,x,,
257,reg,föhnen,to blow-dry,Sie föhnt ihre Haare.,She blow-dries her hair.,sich,,föhne,föhnst,föhnt,föhnen,föhnt,föhnen,föhnte,föhntest,föhnte,föhnten,föhntet,föhnten,geföhnt,,,
258,reg,formulieren,to formulate,Er muss die Antwort formulieren.,He has to formulate the answer.,,,formuliere,formulierst,formuliert,formulieren,formuliert,formulieren,formulierte,formuliertest,formulierte,formulierten,formuliertet,formulierten,formuliert,,,
259,unr,fort.  schreiten,to progress/to advance,Das Projekt schreitet gut fort.,The project is progressing well.,,,schreite.  fort,schreitest.  fort,schreitet.  fort,schreiten.  fort,schreitet.  fort,schreiten.  fort,schritt.  fort,schrittest.  fort,schritt.  fort,schritten.  fort,schrittet.  fort,schritten.  fort,fortgeschrieben ,,,
260,reg,fotografieren,to photograph,Wir fotografieren die Berge.,We photograph the mountains.,,,fotografiere,fotografierst,fotografiert,fotografieren,fotografiert,fotografieren,fotografierte,fotografiertest,fotografierte,fotografierten,fotografiertet,fotografierten,fotografiert,,,
261,reg,fragen,to ask,Er fragt nach dem Weg.,He asks for the way.,sich,nach (D),frage,fragst,fragt,fragen,fragt,fragen,fragte,fragtest,fragte,fragten,fragtet,fragten,gefragt,,,
262,unr,frei.  haben ,to have time off/to be free,Morgen habe ich frei.,Tomorrow I have time off.,,,habe.  frei,hast.  frei,hat.  frei,haben.  frei,habt.  frei,haben.  frei,hatte.  frei,hattest.  frei,hatte.  frei,hatten.  frei,hattet.  frei,hatten.  frei,freigehabt ,,,
263,reg,freuen,to be happy/to look forward to,Ich freue mich auf das Wochenende.,I am looking forward to the weekend.,sich,"über, auf (A)",freue,freust,freut,freuen,freut,freuen,freute,freutest,freute,freuten,freutet,freuten,gefreut,x,,
264,reg,frühstücken ,to have breakfast,Ich frühstücke um 8 Uhr.,I have breakfast at 8 a.m.,,,frühstücke,frühstückst,frühstückt,frühstücken,frühstückt,frühstücken,frühstückte,frühstücktest,frühstückte,frühstückten,frühstücktet,frühstückten,gefrühstückt,,,
265,reg,fühlen,to feel,Ich fühle mich gut.,I feel good.,(sich),,fühle,fühlst,fühlt,fühlen,fühlt,fühlen,fühlte,fühltest,fühlte,fühlten,fühltet,fühlten,gefühlt,,,
266,reg,fühlen ,to feel,Ich fühle mich gut.,I feel good.,,,fühle,fühlst,fühlt,fühlen,fühlt,fühlen,fühlte,fühltest,fühlte,fühlten,fühltet,fühlten,gefühlt,,,
267,reg,führen,to lead/to guide,Er führt die Gruppe an.,He is leading the group.,,,führe,führst,führt,führen,führt,führen,führte,führtest,führte,führten,führtet,führten,geführt,x,,
268,reg,füllen ,to fill,Ich fülle das Glas mit Wasser.,I fill the glass with water.,,,fülle,füllst,füllt,füllen,füllt,füllen,füllte,fülltest,füllte,füllten,fülltet,füllten,gefüllt,,,
269,reg,funktionieren ,to function/to work,Der Computer funktioniert nicht.,The computer doesn't work.,,,funktioniere,funktionierst,funktioniert,funktionieren,funktioniert,funktionieren,funktionierte,funktioniertest,funktionierte,funktionierten,funktioniertet,funktionierten,funktioniert,,,
270,reg,fürchten,to fear,Er fürchtet die Dunkelheit.,He fears the darkness.,sich,vor (D),fürchte,fürchtest,fürchtet,fürchten,fürchtet,fürchten,fürchtete,fürchtetest,fürchtete,fürchteten,fürchtetet,fürchteten,gefürchtet,x,,
271,unr,geben,to give,Kannst du mir das Buch geben?,Can you give me the book?,,,gebe,gibst,gibt,geben,gebt,geben,gab,gabst,gab,gaben,gabt,gaben,gegeben,,,
272,unr,geboren,to be born,Er wurde 1990 geboren.,He was born in 1990.,,,werde geboren	,wirst geboren	,wird geboren	,werden geboren	,werdet geboren	,werden geboren	,wurde geboren	,wurdest geboren	,wurde geboren	,wurden geboren	,wurdet geboren	,wurden geboren	,geboren,,,
273,unr,gefallen ,to like/to please,Das Kleid gefällt mir.,I like the dress.,,,gefalle,gefällst ,gefällt,gefallen ,gefallt,gefallen ,gefiel,gefielst,gefiel,gefielen,gefielt,gefielen,gefallen ,,,
274,unr,gehen,to go/to walk,Wir gehen spazieren.,We go for a walk.,,,gehe,gehst,geht,gehen,geht,gehen,ging,gingst,ging,gingen,gingt,gingen,gegangen ,,,
275,unr,gehören ,to belong to,Dieses Buch gehört mir.,This book belongs to me.,,zu,gehöre,gehörst,gehört,gehören,gehört,gehören,gehörte,gehörtest,gehörte,gehörten,gehörtest,gehörten,gehört,,,
276,unr,gelten,to be valid/to apply,Die Regel gilt für alle.,The rule applies to everyone.,,,gelte,giltst,gilt,gelten,geltet,gelten,galt,galtst,galt,galten,galtet,galten,gegolten,x,,
277,reg,genügen,to be enough/to suffice,Das genügt mir.,That is enough for me.,,,genüge,genügst,genügt,genügen,genügt,genügen,genügte,genügtest,genügte,genügten,genügtet,genügten,genügt,x,,
278,reg,gestalten,to design/to shape,Er gestaltet die Webseite neu.,He is redesigning the website.,,,gestalte,gestaltest,gestaltet,gestalten,gestaltet,gestalten,gestaltete,gestaltetest,gestaltete,gestalteten,gestaltetet,gestalteten,gestaltet,x,,
279,unr,gewanden ,to attire oneself,Er gewandet sich in feine Stoffe.,He attires himself in fine fabrics.,,,gewinne,gewinnst,gewinnt,gewinnen,gewinnt,gewinnen,gewann,gewannst,gewann,gewannen,gewannt,gewannen,gewonnen,,,
280,reg,gewichten ,to weigh/to give importance to,Man muss die Argumente gewichten.,You have to weigh the arguments.,sich,,gewichte,gewichtest,gewichtet,gewichten,gewichtet,gewichten,gewichtete,gewichtetest,gewichtete,gewichteten,gewichtetet,gewichteten,gewichtet,,,
281,reg,gewöhnen,to get used to,Ich gewöhne mich an das Klima.,I am getting used to the climate.,sich,an,gewöhne,gewöhnst,gewöhnt,gewöhnen,gewöhnt,gewöhnen,gewöhnte,gewöhnstest,gewöhnte,gewöhnten,gewöhntet,gewöhnten,gewöhnt,x,,
282,reg,glauben,to believe,Ich glaube an dich.,I believe in you.,,,glaube,glaubst,glaubt,glauben,glaubt,glauben,glaubte,glaubtest,glaubte,glaubten,glaubtet,glaubten,geglaubt,,,
283,reg,gönnen,to grant/to treat oneself,Ich gönne mir eine Pause.,I treat myself to a break.,sich,,gönne,gönnst,gönnt,gönnen,gönnt,gönnen,gönnte,gönntest,gönnte,gönnten,gönntet,gönnten,gegönnt,,,
284,reg,gratulieren,to congratulate,Ich gratuliere dir zum Geburtstag.,I congratulate you on your birthday.,,zu (D),gratuliere,gratulierst,gratuliert,gratulieren,gratuliert,gratulieren,gratulierte,gratuliertest,gratulierte,gratulierten,gratuliertet,gratulierten,gratuliert,x,,
285,reg,grillen,to grill/to barbecue,Wir grillen heute Abend.,We're grilling tonight.,,,grille,grillst,grillt,grillen,grillt,grillen,grillte,grilltest,grillte,grillten,grilltet,grillten,gegrillt,,,
286,unr,groß werden,to grow up,Er wird in dieser Stadt groß.,He is growing up in this city.,,,werde groß ,wirst groß ,wird groß ,werden groß,werdet groß,werden groß,wurde groß,wurdest groß,wurde groß ,wurden groß,wurdet groß,wurden groß,groß geworden,x,,
287,reg,gründen,to found/to establish,Sie gründen eine Firma.,They are founding a company.,,,gründe,gründest,gründet,gründen,gründet,gründen,gründete,gründetest,gründete,gründeten,gründetet,gründeten,gegründet,,,
288,unr,grüßen ,to greet,Ich grüße meine Nachbarn.,I greet my neighbors.,,,grüße,grüßt,grüßt,grüßen,grüßt,grüßen,grüßte,grüßtest,grüßte,grüßten,grüßtet,grüßten,gegrüßt,,,
289,reg,gucken,to look/to watch (colloquial),"Guck mal, was ich gefunden habe!",Look what I found!,,,gucke,guckst,guckt,gucken,guckt,gucken,guckte,gucktest,guckte,guckten,gucktet,guckten,geguckt,,,
290,unr,haben,to have,Ich habe ein Auto.,I have a car.,,,habe,hast,hat,haben,habt,haben,hatte,hattest,hatte,hatten,hattet,hatten,gehabt ,,,
291,reg,hälften ,to halve,Kannst du den Apfel hälften?,Can you halve the apple?,,,hälfte,hälftest,hälftet,hälften,hälftet,hälften,hälftete,hälftetest,hälftete,hälfteten,hälftetet,hälfteten,gehälftet,,,
292,reg,halftern ,to halter (a horse),Er halftert das Pferd.,He puts a halter on the horse.,,,halftere,halfterst,halftert,halftern,halftert,halftern,halfterte,halftertest,halfterte,halfterten,halftertet,halfterten,gehalftert,,,
293,unr,halten,to hold/to stop,Er hält das Buch in der Hand.,He is holding the book in his hand.,sich,von,halte,hältst,hält,halten,haltet,halten,hielt,hieltst,hielt,hielten,hieltet,hielten,gehalten,x,,
294,reg,handeln,to act/to trade,Er handelt mit Aktien.,He is trading stocks.,,von,handle,handelst,handelt,handeln,handelt,handeln,handelte,handeltest,handelte,handelten,handeltet,handelten,gehandelt,x,,
295,reg,hassen,to hate,Ich hasse Lügen.,I hate lies.,,,hasse,hassst,hasst,hassen,hasst,hassen,hasste,hasstest,hasste,hassten,hasstet,hassten,gehasst,,,
296,unr,heben,to lift,Er hebt die schwere Kiste.,He lifts the heavy box.,,,hebe,hebst,hebt,heben,hebt,heben,hob,hobst,hob,hoben,hobt,hoben,gehoben ,,,
297,unr,heim.  kommen,to come home,Wann kommst du heim?,When are you coming home?,,,komme.  heim,kommst.  heim,kommt.  heim ,kommen.  heim,kommt.  heim ,kommen.  heim,kam.  heim ,kamst.  heim,kam.  heim ,kamen.  heim,kamt.  heim ,kamen.  heim,heimgekommen,x,,
298,reg,heiraten ,to marry,Sie heiraten im Sommer.,They are getting married in the summer.,,,heirate,heiratest,heiratet,heiraten,heiratet,heiraten,heiratete,heiratetest,heiratete,heirateten,heiratetet,heirateten,geheiratet,,,
299,unr,heißen,to be called/to be named,Ich heiße Lisa.,My name is Lisa.,,,heiße,heißt ,heißt ,heißen,heißt ,heißen,hieß,hießest,hieß,hießen,hießet,hießen,geheißen ,,,
300,unr,heizen,to heat,Wir müssen das Haus heizen.,We have to heat the house.,,,heize,heizt,heizt,heizen,heizt,heizen,heizte,heiztest,heizte,heizten,heiztet,heizten,geheizt,,,
301,unr,helfen,to help,Kannst du mir helfen?,Can you help me?,dir,bei (D),helfe,hilfst,hilft,helfen,helft,helfen,half,halfst,half,halfen,halft,halfen,geholfen,x,,
302,reg,hinken,to limp,Nach dem Unfall hinkt er.,"After the accident, he limps.",,,hinke,hinkst,hinkt,hinken,hinkt,hinken,hinkte,hinktest,hinkte,hinkten,hinktet,hinkten,gehinkt,,,
303,reg,hinstellen ,to place/to put down,Stell die Tasche hier hin.,Put the bag down here.,,,stelle hin,stellst hin,stellt hin,stellen hin,stellt hin,stellen hin,stellte hin,stelltest hin,stellte hin,stellten hin,stelltet hin,stellten hin,hingestellt,,,
304,unr,hinterlassen,to leave behind,Er hat eine Nachricht hinterlassen.,He left a message behind.,,,hinterlasse,hinterlässt,hinterlässt,hinterlassen,hinterlasst,hinterlassen,hinterließ,hinterließest,hinterließ,hinterließen,hinterließet,hinterließen,hinterlassen ,,,
305,unr,hoch.  fahren,to drive up/to boot up (a computer),Er fährt den Computer hoch.,He is booting up the computer.,,,fahre. hoch,fährst. hoch,fährt. hoch,fahren. hoch,fahrt. hoch,fahren. hoch,fuhr. hoch,fuhrst. hoch,fuhr. hoch,fuhren. hoch,fuhrt. hoch,fuhren. hoch,hochgefahren,x,,
306,unr,hoch.  laden,to upload,Sie lädt das Foto hoch.,She is uploading the photo.,,,lade.  hoch,lädst.  hoch,lädt.  hoch,laden. hoch,ladet.  hoch,laden.  hoch,lud.  hoch,ludst.  hoch,lud.  hoch,luden.  hoch,ludet.  hoch,luden.  hoch,hochgeladen,x,,
307,reg,hoffen,to hope,"Ich hoffe, dass es bald regnet.",I hope that it rains soon.,,auf,hoffe,hoffst,hofft,hoffen,hofft,hoffen,hoffte,hofftest,hoffte,hofften,hofftet,hofften,gehofft,,,
308,unr,holen,to get/to fetch,Kannst du bitte das Brot holen?,Can you please get the bread?,,,hole,holst,holt,holen,holt,holen,holte,holtest,holte,holten,holtet,holten,geholt,,,
309,reg,hören,to hear,Ich höre ein Geräusch.,I hear a noise.,,,höre,hörst,hört,hören,hört,hören,hörte,hörtest,hörte,hörten,hörtet,hörten,gehört,,,
310,unr,hungern,to be hungry/to starve,Wir hungern nach Wissen.,We hunger for knowledge.,,,hungere,hungerst,hungert,hungern,hungert,hungern,hungerte,hungertest,hungerte,hungerten,hungertet,hungerten,gehungert,,,
311,reg,husten ,to cough,Er hustet sehr stark.,He is coughing very hard.,,,huste,hustest,hustet,husten,hustet,husten,hustete,hustetest,hustete,husteten,hustetet,husteten,gehustet,,,
312,reg,informieren ,to inform,Ich informiere dich morgen.,I'll inform you tomorrow.,sich,über (A),informiere,informierst,informiert,informieren,informiert,informieren,informierte,informiertest,informierte,informierten,informiertet,informierten,informiert,,,
313,reg,informieren.  über(sich),to inform about (oneself),Sie informiert sich über das Wetter.,She informs herself about the weather.,sich,,informiere mich über,informierst dich über,informiert sich über,informieren uns über,informiert euch über,informieren sich über,informierte mich über,informiertest dich über,informierte sich über,informierten uns über,informiertet euch über,informierten sich über,über sich informiert,,,
314,reg,inhalieren ,to inhale,Der Patient muss inhalieren.,The patient has to inhale.,,,inhaliere,inhalierst,inhaliert,inhalieren,inhaliert,inhalieren,inhalierte,inhaliertest,inhalierte,inhalierten,inhaliertet,inhalierten,inhaliert,,,
315,reg,interessieren ,to interest,Das Thema interessiert mich.,The topic interests me.,sich,für (A),interessiere,interessierst,interessiert,interessieren,interessiert,interessieren,interessierte,interessiertest,interessierte,interessierten,interessiertet,interessierten,interessiert,,,
316,reg,jobben,to work/to have a side job,Er jobbt im Supermarkt.,He works at the supermarket.,,,jobbe,jobbst,jobbt,jobben,jobbt,jobben,jobbte,jobbtest,jobbte,jobbten,jobbtet,jobbten,gejobbt,,,
317,reg,joggen ,to jog,Wir joggen jeden Morgen.,We jog every morning.,,,jogge,joggst,joggt,joggen,joggt,joggen,joggte,joggtest,joggte,joggten,joggtet,joggten,gejoggt,,,
318,reg,jonglieren ,to juggle,Er kann mit drei Bällen jonglieren.,He can juggle with three balls.,,,jongliere,jonglierst,jongliert,jonglieren,jongliert,jonglieren,jonglierte,jongliertest,jonglierte,jonglierten,jongliertet,jonglierten,jongliert,,,
319,reg,jungen,to give birth to young (animals),Die Katze hat gejungt.,The cat gave birth to young.,,,junge,jungst,jungt,jungen,jungt,jungen,jungte,jungtest,jungte,jungten,jungtet,jungten,gejungt,,,
320,reg,kämfen,to fight/to struggle,Er kämpft um seine Rechte.,He is fighting for his rights.,,"um, gegen",kämpfe,kämpfst,kämpft,kämpfen,kämpft,kämpfen,kämpfte,kämpftest,kämpfte,kämpften,kämpftet,kämpften,gekämpft,x,,
321,reg,kämmen,to comb,Sie kämmt ihre Haare.,She combs her hair.,sich,,kämme,kämmst,kämmt,kämmen,kämmt,kämmen,kämmte,kämmtest,kämmte,kämmten,kämmtet,kämmten,gekammt,,,
322,reg,karren,to cart/to wheel,Er karrt die Steine weg.,He carts the stones away.,,,karre,karrst,karrt,karren,karrt,karren,karrte,karrtest,karrte,karrten,karrtet,karrten,gekarrt,,,
323,reg,kaufen,to buy,Ich kaufe ein neues Buch.,I am buying a new book.,,,kaufe,kaust,kauft,kaufen,kauft,kaufen,kaufte,kauftest,kaufte,kauften,kauftet,kauften,gekauft,,,
324,unr,kennen ,to know (a person or place),Ich kenne den Mann nicht.,I don't know the man.,,,kenne,kenst,kent,kennen,kent,kennen,kannte,kanntest,kannte,kannten,kanntet,kannten,gekannt,,,
325,reg,klagen,to complain/to lament,Sie klagt über Kopfschmerzen.,She is complaining about headaches.,sich,,klage,klagst,klagt,klagen,klagt,klagen,klagte,klagtest,klagte,klagten,klagtet,klagten,geklagt,x,,
