,,,Präsens,,,,,,Präteritum,,,,,,,,,,,,,,,
236,reg,erzählen,erzähle,erzählst,erzählt,erzählen,erzählt,erzählen,erzählte,erzähltest,erzählte,erzählten,erzähltet,erzählten,erzählt,,,"narrate, tell, talk",to tell,Er erzählt eine Geschichte.,He tells a story.,,,
237,reg,erzeugen,erzeuge,erzeugst,erzeugt,erzeugen,erzeugt,erzeugen,erzeugte,erzeugtest,erzeugte,erzeugten,erzeugtet,erzeugten,erzeugt,,,erzeugen,to produce/to generate,Die Fabrik erzeugt Strom.,The factory is generating electricity.,,"hervorbringen (produce), herstellen (manufacture)",
238,unr,erziehen,erziehe,erziehst,erzieht,erziehen,erzieht,erziehen,erzog,erzogst,erzog,erzogen,erzogt,erzogen,erzogen,,,erziehen,to raise/to educate (a child),Sie erzieht ihre Kinder gut.,She is raising her children well.,x,,
239,unr,essen,esse,isst ,isst,essen ,esst,essen ,aß,aßest,aß,aßen,aßet,aßen,gegessen ,,,eat,to eat,Wir essen Pizza.,We eat pizza.,,,
240,reg,experimentieren ,experimentiere,experimentierst,experimentiert,experimentieren,experimentiert,experimentieren,experimentierte,experimentiertest,experimentierte,experimentierten,experimentiertet,experimentierten,experimentiert,,,experience,to experiment,Sie experimentieren mit Chemikalien.,They experiment with chemicals.,,,
241,unr,fahren,fahre,fährst,fährt ,fahren,fahrt,fahren ,fuhr,fuhrst,fuhr,fuhren,fuhrt,fuhren,gefahren,,,ride ,to drive/to go by vehicle,Ich fahre nach Berlin.,I drive to Berlin.,,,
242,unr,fallen,falle,fällst,fällt,fallen,fallt,fallen,fiel,fielst,fiel,fielen,fielt,fielen,gefallen ,,,fall,to fall,Der Apfel fällt vom Baum.,The apple falls from the tree.,,,
243,unr,fangen,fange,fängst,fängt,fangen,fangt,fangen,fing,fingst,fing,fingen,fingt,fingen,gefangen,,,"catch, capture, trap",to catch,Er fängt den Ball.,He catches the ball.,,,
244,reg,fantasieren ,fantasiere,fantasierst,fantasiert,fantasieren,fantasiert,fantasieren,fantasierte,fantasiertest,fantasierte,fantasierten,fantasiertet,fantasierten,fantasiert,,,"fantasise, dream up",to fantasize,Sie fantasiert von einer Reise.,She fantasizes about a trip.,,,
245,reg,faulenzen ,faulenze,faulenzst,faulenzt,faulenzen,faulenzt,faulenzen,faulenzte,faulenztest,faulenzte,faulenzten,faulenztet,faulenzten,gefaulenzt,,,"idle, ounge, chill",to be lazy/to lounge,Am Sonntag faulenzen wir.,"On Sunday, we're lazy.",,,
246,unr,fehlen,fehle,fehlst,fehlt,fehlen,fehlt,fehlen,fehlte,fehltest,fehlte,fehlten,fehltet,fehlten,gefehlt,,,"miss, lack, be missing",to be missing/to lack,Mir fehlt die Zeit.,I lack time.,,,
247,reg,feien,feie,feist,feit,feien,feit,feien,feite,feitest,feite,feiten,feitet,feiten,gefeit,,,immulize,to be immune,Die Kinder feien gegen die Krankheit.,The children are immune to the illness.,,,
248,reg,feiern,feiere,feierst,feiert,feieren,feiert,feieren,feierte,feiertest,feierte,feierten,feiertet,feierten,gefeiert,,,"celebrate, feast",to celebrate,Wir feiern meinen Geburtstag.,We celebrate my birthday.,,,
249,unr,fern.  sehen,sehe.  fern,siehst.  fern,sieht.  fern,sehen.  fern,seht.  fern,sehen.  fern,sah.  fern,sahst.  fern,sah.  fern,sahen.  fern,saht.  fern,sahen.  fern,ferngesehen ,,,watch tv,to watch TV,Ich sehe abends fern.,I watch TV in the evenings.,,,
250,reg,fest.  legen,lege. fest,legst. fest,legt. fest,legen. fest,legt. fest,legen. fest,legte. fest,legtest. fest,legte. fest,legten. fest,legtet. fest,legten. fest,festgelegt,,,fest. legen,to determine/to define,Wir legen den Termin fest.,We are determining the date.,,,
251,reg,fiebern ,fiebere,fieberst,fiebert,fiebern,fiebert,fiebern,fieberte,fiebertest,fieberte,fieberten,fiebertet,fieberten,gefiebert,,,"simmer, have a fever",to have a fever,Das Kind fiebert.,The child has a fever.,,,
252,unr,finden,finde,findest,findet,finden,findet,finden,fand,fandest,fand,fanden,fandet,fanden,gefunden,,,find,to find,Ich finde mein Buch nicht.,I can't find my book.,,,
253,reg,fingern,fingere,fingerst,fingert,fingern,fingert,fingern,fingerte,fingertest,fingerte,fingerten,fingertet,fingerten,gefingert,,,"finger, fiddle",to finger (to touch with fingers),"Er fing an, an seinem Bart zu fingern.",He started to finger his beard.,,,
254,unr,fliehen,fliehe,fliehst,flieht,fliehen,flieht,fliehen,floh,flohst,floh,flohen,floht,flohen,geflohen,,vor (D),fliehen,to flee/to escape,Er flieht vor der Gefahr.,He is fleeing from the danger.,x,,
255,unr,fließen,fließe,fließt,fließt,fließen,fließt,fließen,floss,flossest,floss,flossen,flosst,flossen,geflossen,,,fließen,to flow,Das Wasser fließt den Fluss hinunter.,The water is flowing down the river.,x,,
256,reg,flüchten,flüchte,flüchtest,flüchtet,flüchten,flüchtet,flüchten,flüchtete,flüchtetest,flüchtete,,,,,,vor (D),flüchten,to flee/to escape,Sie flüchtet aus dem Haus.,She is fleeing from the house.,x,,
257,reg,föhnen,föhne,föhnst,föhnt,föhnen,föhnt,föhnen,föhnte,föhntest,föhnte,föhnten,föhntet,föhnten,geföhnt,sich,,"blow dry, fart",to blow-dry,Sie föhnt ihre Haare.,She blow-dries her hair.,,,
258,reg,formulieren,formuliere,formulierst,formuliert,formulieren,formuliert,formulieren,formulierte,formuliertest,formulierte,formulierten,formuliertet,formulierten,formuliert,,,"put, word, formulate",to formulate,Er muss die Antwort formulieren.,He has to formulate the answer.,,,
259,unr,fort.  schreiten,schreite.  fort,schreitest.  fort,schreitet.  fort,schreiten.  fort,schreitet.  fort,schreiten.  fort,schritt.  fort,schrittest.  fort,schritt.  fort,schritten.  fort,schrittet.  fort,schritten.  fort,fortgeschrieben ,,,"proceed, advance, progress",to progress/to advance,Das Projekt schreitet gut fort.,The project is progressing well.,,,
260,reg,fotografieren,fotografiere,fotografierst,fotografiert,fotografieren,fotografiert,fotografieren,fotografierte,fotografiertest,fotografierte,fotografierten,fotografiertet,fotografierten,fotografiert,,,take a photo,to photograph,Wir fotografieren die Berge.,We photograph the mountains.,,,
261,reg,fragen,frage,fragst,fragt,fragen,fragt,fragen,fragte,fragtest,fragte,fragten,fragtet,fragten,gefragt,sich,nach (D),"ask, request",to ask,Er fragt nach dem Weg.,He asks for the way.,,,
262,unr,frei.  haben ,habe.  frei,hast.  frei,hat.  frei,haben.  frei,habt.  frei,haben.  frei,hatte.  frei,hattest.  frei,hatte.  frei,hatten.  frei,hattet.  frei,hatten.  frei,freigehabt ,,,have time off,to have time off/to be free,Morgen habe ich frei.,Tomorrow I have time off.,,,
263,reg,freuen,freue,freust,freut,freuen,freut,freuen,freute,freutest,freute,freuten,freutet,freuten,gefreut,sich,"über, auf (A)",freuen,to be happy/to look forward to,Ich freue mich auf das Wochenende.,I am looking forward to the weekend.,x,,
264,reg,frühstücken ,frühstücke,frühstückst,frühstückt,frühstücken,frühstückt,frühstücken,frühstückte,frühstücktest,frühstückte,frühstückten,frühstücktet,frühstückten,gefrühstückt,,,have breakfast,to have breakfast,Ich frühstücke um 8 Uhr.,I have breakfast at 8 a.m.,,,
265,reg,fühlen,fühle,fühlst,fühlt,fühlen,fühlt,fühlen,fühlte,fühltest,fühlte,fühlten,fühltet,fühlten,gefühlt,(sich),,fühlen,to feel,Ich fühle mich gut.,I feel good.,,,
266,reg,fühlen ,fühle,fühlst,fühlt,fühlen,fühlt,fühlen,fühlte,fühltest,fühlte,fühlten,fühltet,fühlten,gefühlt,,,"feel, sense",to feel,Ich fühle mich gut.,I feel good.,,,
267,reg,führen,führe,führst,führt,führen,führt,führen,führte,führtest,führte,führten,führtet,führten,geführt,,,führen,to lead/to guide,Er führt die Gruppe an.,He is leading the group.,x,,
268,reg,füllen ,fülle,füllst,füllt,füllen,füllt,füllen,füllte,fülltest,füllte,füllten,fülltet,füllten,gefüllt,,,"fill, charge, inflate",to fill,Ich fülle das Glas mit Wasser.,I fill the glass with water.,,,
269,reg,funktionieren ,funktioniere,funktionierst,funktioniert,funktionieren,funktioniert,funktionieren,funktionierte,funktioniertest,funktionierte,funktionierten,funktioniertet,funktionierten,funktioniert,,,"function, work",to function/to work,Der Computer funktioniert nicht.,The computer doesn't work.,,,
270,reg,fürchten,fürchte,fürchtest,fürchtet,fürchten,fürchtet,fürchten,fürchtete,fürchtetest,fürchtete,fürchteten,fürchtetet,fürchteten,gefürchtet,sich,vor (D),fürchten,to fear,Er fürchtet die Dunkelheit.,He fears the darkness.,x,,
271,unr,geben,gebe,gibst,gibt,geben,gebt,geben,gab,gabst,gab,gaben,gabt,gaben,gegeben,,,give,to give,Kannst du mir das Buch geben?,Can you give me the book?,,,
272,unr,geboren,werde geboren	,wirst geboren	,wird geboren	,werden geboren	,werdet geboren	,werden geboren	,wurde geboren	,wurdest geboren	,wurde geboren	,wurden geboren	,wurdet geboren	,wurden geboren	,geboren,,,geboren,to be born,Er wurde 1990 geboren.,He was born in 1990.,,,
273,unr,gefallen ,gefalle,gefällst ,gefällt,gefallen ,gefallt,gefallen ,gefiel,gefielst,gefiel,gefielen,gefielt,gefielen,gefallen ,,,"please, appeal to, to be liked by",to like/to please,Das Kleid gefällt mir.,I like the dress.,,,
274,unr,gehen,gehe,gehst,geht,gehen,geht,gehen,ging,gingst,ging,gingen,gingt,gingen,gegangen ,,,go,to go/to walk,Wir gehen spazieren.,We go for a walk.,,,
275,unr,gehören ,gehöre,gehörst,gehört,gehören,gehört,gehören,gehörte,gehörtest,gehörte,gehörten,gehörtest,gehörten,gehört,,zu,"belong, be part, rank",to belong to,Dieses Buch gehört mir.,This book belongs to me.,,,
276,unr,gelten,gelte,giltst,gilt,gelten,geltet,gelten,galt,galtst,galt,galten,galtet,galten,gegolten,,,gelten,to be valid/to apply,Die Regel gilt für alle.,The rule applies to everyone.,x,,
277,reg,genügen,genüge,genügst,genügt,genügen,genügt,genügen,genügte,genügtest,genügte,genügten,genügtet,genügten,genügt,,,genügen,to be enough/to suffice,Das genügt mir.,That is enough for me.,x,,
278,reg,gestalten,gestalte,gestaltest,gestaltet,gestalten,gestaltet,gestalten,gestaltete,gestaltetest,gestaltete,gestalteten,gestaltetet,gestalteten,gestaltet,,,gestalten,to design/to shape,Er gestaltet die Webseite neu.,He is redesigning the website.,x,,
279,unr,gewanden ,gewinne,gewinnst,gewinnt,gewinnen,gewinnt,gewinnen,gewann,gewannst,gewann,gewannen,gewannt,gewannen,gewonnen,,,dress,to attire oneself,Er gewandet sich in feine Stoffe.,He attires himself in fine fabrics.,,,
280,reg,gewichten ,gewichte,gewichtest,gewichtet,gewichten,gewichtet,gewichten,gewichtete,gewichtetest,gewichtete,gewichteten,gewichtetet,gewichteten,gewichtet,sich,,attach weight,to weigh/to give importance to,Man muss die Argumente gewichten.,You have to weigh the arguments.,,,
281,reg,gewöhnen,gewöhne,gewöhnst,gewöhnt,gewöhnen,gewöhnt,gewöhnen,gewöhnte,gewöhnstest,gewöhnte,gewöhnten,gewöhntet,gewöhnten,gewöhnt,sich,an,gewöhnen,to get used to,Ich gewöhne mich an das Klima.,I am getting used to the climate.,x,,
282,reg,glauben,glaube,glaubst,glaubt,glauben,glaubt,glauben,glaubte,glaubtest,glaubte,glaubten,glaubtet,glaubten,geglaubt,,,"believe, trust, think",to believe,Ich glaube an dich.,I believe in you.,,,
283,reg,gönnen,gönne,gönnst,gönnt,gönnen,gönnt,gönnen,gönnte,gönntest,gönnte,gönnten,gönntet,gönnten,gegönnt,sich,,"allow, afford, grant",to grant/to treat oneself,Ich gönne mir eine Pause.,I treat myself to a break.,,,
284,reg,gratulieren,gratuliere,gratulierst,gratuliert,gratulieren,gratuliert,gratulieren,gratulierte,gratuliertest,gratulierte,gratulierten,gratuliertet,gratulierten,gratuliert,,zu (D),gratulieren,to congratulate,Ich gratuliere dir zum Geburtstag.,I congratulate you on your birthday.,x,,
285,reg,grillen,grille,grillst,grillt,grillen,grillt,grillen,grillte,grilltest,grillte,grillten,grilltet,grillten,gegrillt,,,"grill, barbecue ",to grill/to barbecue,Wir grillen heute Abend.,We're grilling tonight.,,,
286,unr,groß werden,werde groß ,wirst groß ,wird groß ,werden groß,werdet groß,werden groß,wurde groß,wurdest groß,wurde groß ,wurden groß,wurdet groß,wurden groß,groß geworden,,,groß werden,to grow up,Er wird in dieser Stadt groß.,He is growing up in this city.,x,,
287,reg,gründen,gründe,gründest,gründet,gründen,gründet,gründen,gründete,gründetest,gründete,gründeten,gründetet,gründeten,gegründet,,,"found, base, build, start",to found/to establish,Sie gründen eine Firma.,They are founding a company.,,,
288,unr,grüßen ,grüße,grüßt,grüßt,grüßen,grüßt,grüßen,grüßte,grüßtest,grüßte,grüßten,grüßtet,grüßten,gegrüßt,,,"greet, salute, remember",to greet,Ich grüße meine Nachbarn.,I greet my neighbors.,,,
289,reg,gucken,gucke,guckst,guckt,gucken,guckt,gucken,guckte,gucktest,guckte,guckten,gucktet,guckten,geguckt,,,"look, watch",to look/to watch (colloquial),"Guck mal, was ich gefunden habe!",Look what I found!,,,
290,unr,haben,habe,hast,hat,haben,habt,haben,hatte,hattest,hatte,hatten,hattet,hatten,gehabt ,,,have ,to have,Ich habe ein Auto.,I have a car.,,,
291,reg,hälften ,hälfte,hälftest,hälftet,hälften,hälftet,hälften,hälftete,hälftetest,hälftete,hälfteten,hälftetet,hälfteten,gehälftet,,,halve,to halve,Kannst du den Apfel hälften?,Can you halve the apple?,,,
292,reg,halftern ,halftere,halfterst,halftert,halftern,halftert,halftern,halfterte,halftertest,halfterte,halfterten,halftertet,halfterten,gehalftert,,,halter,to halter (a horse),Er halftert das Pferd.,He puts a halter on the horse.,,,
293,unr,halten,halte,hältst,hält,halten,haltet,halten,hielt,hieltst,hielt,hielten,hieltet,hielten,gehalten,sich,von,halten,to hold/to stop,Er hält das Buch in der Hand.,He is holding the book in his hand.,x,,
294,reg,handeln,handle,handelst,handelt,handeln,handelt,handeln,handelte,handeltest,handelte,handelten,handeltet,handelten,gehandelt,,von,handeln,to act/to trade,Er handelt mit Aktien.,He is trading stocks.,x,,
295,reg,hassen,hasse,hassst,hasst,hassen,hasst,hassen,hasste,hasstest,hasste,hassten,hasstet,hassten,gehasst,,,"despise, hate",to hate,Ich hasse Lügen.,I hate lies.,,,
296,unr,heben,hebe,hebst,hebt,heben,hebt,heben,hob,hobst,hob,hoben,hobt,hoben,gehoben ,,,"lift, raise",to lift,Er hebt die schwere Kiste.,He lifts the heavy box.,,,
297,unr,heim.  kommen,komme.  heim,kommst.  heim,kommt.  heim ,kommen.  heim,kommt.  heim ,kommen.  heim,kam.  heim ,kamst.  heim,kam.  heim ,kamen.  heim,kamt.  heim ,kamen.  heim,heimgekommen,,,heim. kommen,to come home,Wann kommst du heim?,When are you coming home?,x,,
298,reg,heiraten ,heirate,heiratest,heiratet,heiraten,heiratet,heiraten,heiratete,heiratetest,heiratete,heirateten,heiratetet,heirateten,geheiratet,,,"get married, wed, marry",to marry,Sie heiraten im Sommer.,They are getting married in the summer.,,,
299,unr,heißen,heiße,heißt ,heißt ,heißen,heißt ,heißen,hieß,hießest,hieß,hießen,hießet,hießen,geheißen ,,,"to be named, called",to be called/to be named,Ich heiße Lisa.,My name is Lisa.,,,
300,unr,heizen,heize,heizt,heizt,heizen,heizt,heizen,heizte,heiztest,heizte,heizten,heiztet,heizten,geheizt,,,"heat, fuel",to heat,Wir müssen das Haus heizen.,We have to heat the house.,,,
301,unr,helfen,helfe,hilfst,hilft,helfen,helft,helfen,half,halfst,half,halfen,halft,halfen,geholfen,dir,bei (D),helfen,to help,Kannst du mir helfen?,Can you help me?,x,,
302,reg,hinken,hinke,hinkst,hinkt,hinken,hinkt,hinken,hinkte,hinktest,hinkte,hinkten,hinktet,hinkten,gehinkt,,,"limp, halt",to limp,Nach dem Unfall hinkt er.,"After the accident, he limps.",,,
303,reg,hinstellen ,stelle hin,stellst hin,stellt hin,stellen hin,stellt hin,stellen hin,stellte hin,stelltest hin,stellte hin,stellten hin,stelltet hin,stellten hin,hingestellt,,,"put down, deposit, situate",to place/to put down,Stell die Tasche hier hin.,Put the bag down here.,,,
304,unr,hinterlassen,hinterlasse,hinterlässt,hinterlässt,hinterlassen,hinterlasst,hinterlassen,hinterließ,hinterließest,hinterließ,hinterließen,hinterließet,hinterließen,hinterlassen ,,,"leave behind (mit Dauer, Spur, Erbe, Nachricht, Wirkung)",to leave behind,Er hat eine Nachricht hinterlassen.,He left a message behind.,,,
305,unr,hoch.  fahren,fahre. hoch,fährst. hoch,fährt. hoch,fahren. hoch,fahrt. hoch,fahren. hoch,fuhr. hoch,fuhrst. hoch,fuhr. hoch,fuhren. hoch,fuhrt. hoch,fuhren. hoch,hochgefahren,,,hoch. fahren,to drive up/to boot up (a computer),Er fährt den Computer hoch.,He is booting up the computer.,x,,
306,unr,hoch.  laden,lade.  hoch,lädst.  hoch,lädt.  hoch,laden. hoch,ladet.  hoch,laden.  hoch,lud.  hoch,ludst.  hoch,lud.  hoch,luden.  hoch,ludet.  hoch,luden.  hoch,hochgeladen,,,hoch. laden,to upload,Sie lädt das Foto hoch.,She is uploading the photo.,x,,
307,reg,hoffen,hoffe,hoffst,hofft,hoffen,hofft,hoffen,hoffte,hofftest,hoffte,hofften,hofftet,hofften,gehofft,,auf,hope,to hope,"Ich hoffe, dass es bald regnet.",I hope that it rains soon.,,,
308,unr,holen,hole,holst,holt,holen,holt,holen,holte,holtest,holte,holten,holtet,holten,geholt,,,"get, fetch, catch",to get/to fetch,Kannst du bitte das Brot holen?,Can you please get the bread?,,,
309,reg,hören,höre,hörst,hört,hören,hört,hören,hörte,hörtest,hörte,hörten,hörtet,hörten,gehört,,,hören,to hear,Ich höre ein Geräusch.,I hear a noise.,,,
310,unr,hungern,hungere,hungerst,hungert,hungern,hungert,hungern,hungerte,hungertest,hungerte,hungerten,hungertet,hungerten,gehungert,,,"hunger, stave, clam",to be hungry/to starve,Wir hungern nach Wissen.,We hunger for knowledge.,,,
311,reg,husten ,huste,hustest,hustet,husten,hustet,husten,hustete,hustetest,hustete,husteten,hustetet,husteten,gehustet,,,cough,to cough,Er hustet sehr stark.,He is coughing very hard.,,,
312,reg,informieren ,informiere,informierst,informiert,informieren,informiert,informieren,informierte,informiertest,informierte,informierten,informiertet,informierten,informiert,sich,über (A),"let know, inform",to inform,Ich informiere dich morgen.,I'll inform you tomorrow.,,,
313,reg,informieren.  über(sich),informiere mich über,informierst dich über,informiert sich über,informieren uns über,informiert euch über,informieren sich über,informierte mich über,informiertest dich über,informierte sich über,informierten uns über,informiertet euch über,informierten sich über,über sich informiert,sich,,"let know, inform ",to inform about (oneself),Sie informiert sich über das Wetter.,She informs herself about the weather.,,,
314,reg,inhalieren ,inhaliere,inhalierst,inhaliert,inhalieren,inhaliert,inhalieren,inhalierte,inhaliertest,inhalierte,inhalierten,inhaliertet,inhalierten,inhaliert,,,"inhale, breathe in",to inhale,Der Patient muss inhalieren.,The patient has to inhale.,,,
315,reg,interessieren ,interessiere,interessierst,interessiert,interessieren,interessiert,interessieren,interessierte,interessiertest,interessierte,interessierten,interessiertet,interessierten,interessiert,sich,für (A),interest,to interest,Das Thema interessiert mich.,The topic interests me.,,,
316,reg,jobben,jobbe,jobbst,jobbt,jobben,jobbt,jobben,jobbte,jobbtest,jobbte,jobbten,jobbtet,jobbten,gejobbt,,,"job, do",to work/to have a side job,Er jobbt im Supermarkt.,He works at the supermarket.,,,
317,reg,joggen ,jogge,joggst,joggt,joggen,joggt,joggen,joggte,joggtest,joggte,joggten,joggtet,joggten,gejoggt,,,jog,to jog,Wir joggen jeden Morgen.,We jog every morning.,,,
318,reg,jonglieren ,jongliere,jonglierst,jongliert,jonglieren,jongliert,jonglieren,jonglierte,jongliertest,jonglierte,jonglierten,jongliertet,jonglierten,jongliert,,,juggle,to juggle,Er kann mit drei Bällen jonglieren.,He can juggle with three balls.,,,
319,reg,jungen,junge,jungst,jungt,jungen,jungt,jungen,jungte,jungtest,jungte,jungten,jungtet,jungten,gejungt,,,have young,to give birth to young (animals),Die Katze hat gejungt.,The cat gave birth to young.,,,
320,reg,kämfen,kämpfe,kämpfst,kämpft,kämpfen,kämpft,kämpfen,kämpfte,kämpftest,kämpfte,kämpften,kämpftet,kämpften,gekämpft,,"um, gegen",kämpfen,to fight/to struggle,Er kämpft um seine Rechte.,He is fighting for his rights.,x,,
321,reg,kämmen,kämme,kämmst,kämmt,kämmen,kämmt,kämmen,kämmte,kämmtest,kämmte,kämmten,kämmtet,kämmten,gekammt,sich,,"comb hair, comb, tease",to comb,Sie kämmt ihre Haare.,She combs her hair.,,,
322,reg,karren,karre,karrst,karrt,karren,karrt,karren,karrte,karrtest,karrte,karrten,karrtet,karrten,gekarrt,,,"drive, cart",to cart/to wheel,Er karrt die Steine weg.,He carts the stones away.,,,
323,reg,kaufen,kaufe,kaust,kauft,kaufen,kauft,kaufen,kaufte,kauftest,kaufte,kauften,kauftet,kauften,gekauft,,,"buy, shop, purchase",to buy,Ich kaufe ein neues Buch.,I am buying a new book.,,,
324,unr,kennen ,kenne,kenst,kent,kennen,kent,kennen,kannte,kanntest,kannte,kannten,kanntet,kannten,gekannt,,,know,to know (a person or place),Ich kenne den Mann nicht.,I don't know the man.,,,
325,reg,klagen,klage,klagst,klagt,klagen,klagt,klagen,klagte,klagtest,klagte,klagten,klagtet,klagten,geklagt,sich,,klagen,to complain/to lament,Sie klagt über Kopfschmerzen.,She is complaining about headaches.,x,,
326,reg,klappen ,klappe,klappst,klappt,klappen,klappt,klappen,klappte,klapptest,klappte,klappten,klapptet,klappten,geklappt,,,"fold, work, go, click",to work out/to succeed,Es hat alles gut geklappt.,Everything worked out well.,,,
327,reg,klären,kläre,klärst,klärt,klären,klärt,klären,klärte,klärtest,klärte,klärten,klärtet,klärteten,geklärt,sich,,"clear, settle, clarify",to clarify/to clear up,Wir müssen das Missverständnis klären.,We have to clarify the misunderstanding.,,,
328,reg,kleiden,kleide,kleidest,kleidet,kleiden,kleidet,kleiden,kleidete,kleidetest,kleidete,kleideten,kleidetet,kleideten,gekleidet,sich,,"dress, apparel, garb",to dress/to clothe,Sie kleidet sich elegant.,She dresses elegantly.,,,
329,reg,klettern,klettere,kletterst,klettert,klettern,klettert,klettern,kletterte,klettertest,kletterte,kletterten,klettertet,kletterten,geklettert,,,klettern,to climb,Sie klettert auf den Baum.,She is climbing the tree.,x,,
330,reg,klettern ,klettere,kletterst,klettert,klettern,klettert,klettern,kletterte,klettertest,kletterte,kletterten,klettertet,kletterten,geklettert,,,"climb, scramble, scale",to climb,Sie klettert auf den Baum.,She climbs the tree.,,,
331,unr,klingeln,klingele,klingelst,klingelt,klingeln,klingelt,klingeln,klingelte,klingeltest,klingelte,klingelten,klingeltet,klingelten,geklingelt,,,"ring, jingle",to ring (a doorbell/phone),Das Telefon klingelt.,The phone is ringing.,,,
332,unr,klingen,klinge,klingst,klingt ,klingen,klingt ,klingen,klang,klangst,klang,klangen,klangt,klangen,geklungen ,,,sound,to sound/to ring,Das Lied klingt schön.,The song sounds beautiful.,,,
333,reg,knien,knie,kniest,kniet,knien,kniet,knien,kniete,knietest,kniete,knieten,knietet,knieten,gekniet,,,"knee, kneel",to kneel,Er kniet auf dem Boden.,He is kneeling on the floor.,,,
334,reg,knüpfen ,knüpfe,knüpfst,knüpft,knüpfen,knüpft,knüpfen,knüpfte,knüpftest,knüpfte,knüpften,knüpftet,knüpften,geknüpft,,,"knop, tie",to knot/to tie,Sie knüpft ein Freundschaftsband.,She ties a friendship bracelet.,,,
335,reg,kochen,koche,kochst,kocht,kochen,kocht,kochen,kochte,kochtest,kochte,kochten,kochtet,kochten,gekocht,,,"cooking, broil",to cook,Ich koche Spaghetti.,I am cooking spaghetti.,,,
336,unr,kommen ,komme,kommst,kommt,kommen,kommt,kommen,kam,kamst,kam,kamen,kamt,kamen,gekommen ,,,come,to come,Kommst du mit?,Are you coming along?,,,
337,reg,kommunizieren,kommuniziere,kommunizierst,kommuniziert,kommunizieren,kommuniziert,kommunizieren,kommunizierte,kommuniziertest,kommunizierte,kommunizierten,kommuniziertet,kommunizierten,kommuniziert,,,kommunizieren,to communicate,Wir kommunizieren per E-Mail.,We are communicating by email.,x,,
338,reg,komplizieren,kompliziere,komplizierst,kompliziert,komplizieren,kompliziert,komplizieren,komplizierte,kompliziertest,komplizierte,komplizierten,kompliziertet,komplizierten,kompliziert,sich,,"complicate, involve",to complicate,Du darfst das nicht komplizieren.,You must not complicate that.,,,
339,unr,können ,kann,kannst ,kann,können ,könnt,können ,konnte,konntest,konnte,konnten,konntet,konnten,gekonnt ,,,can,to be able to/can,Ich kann Deutsch sprechen.,I can speak German.,,,
340,reg,kontrollieren ,kontrolliere,kontrollierst,kontrolliert,kontrollieren,kontrolliert,kontrollieren,kontrollierte,kontrolliertest,kontrollierte,kontrollierten,kontrolliertet,kontrollierten,kontrolliert,,,"check, control, command",to control/to check,Er kontrolliert die Tickets.,He is checking the tickets.,,,
341,reg,konzentrieren,konzentriere,konzentrierst,konzentriert,konzentrieren,konzentriert,konzentrieren,konzentrierte,konzentriertest,konzentrierte,konzentrierten,konzentriertet,konzentrierten,konzentriert,sich,auf,konzentrieren,to concentrate,Er konzentriert sich auf seine Arbeit.,He is concentrating on his work.,x,,
342,reg,kopieren,kopiere,kopierst,kopiert,kopieren,kopiert,kopieren,kopierte,kopiertest,kopierte,kopierten,kopiertet,kopierten,kopiert,,,"copy, clone",to copy,Kannst du das Dokument kopieren?,Can you copy the document?,,,
343,reg,korrigieren ,korrigiere,korrigierst,korrigiert,korrigieren,korrigiert,korrigieren,korrigierte,korrigiertest,korrigierte,korrigierten,korrigiertet,korrigierten,korrigiert,,,"correct, retouch, readjust",to correct,Sie korrigiert die Fehler.,She corrects the mistakes.,,,
344,reg,kosten,koste,kostest,kostet,kosten,kostet,kosten,kostete,kostetest,kostete,kosteten,kostetet,kosteten,gekostet,,,kosten,to cost/to taste,Wie viel kostet das?,How much does that cost?,x,,
345,reg,kranken,kranke,krankst,krankt,kranken,krankt,kranken,krankte,kranktest,krankte,krankten,kranktet,krankten,gekrankt,sich,,"sick, suffer",to be ill/to suffer (archaic),Er krankte an einer schweren Krankheit.,He was ill with a serious disease.,,,
346,unr,kränken,kränke,kränkst,kränkt,kränken,kränkt,kränken,kränkte,kränktest,kränkte,kränkten,kränktet,kränkten,gekränkt,sich,,"ill, sick, hurt",to offend/to hurt someone's feelings,Seine Worte haben mich gekränkt.,His words hurt my feelings.,,,
347,reg,kreuzen,kreuze,kreuzt,kreuzt,kreuzen,kreuzt,kreuzen,kreuzte,kreuztest,kreuzte,kreuzten,kreuztet,kreuzten,gekreuzt,,,"cross, hybridize",to cross,Wir kreuzen die Straße.,We cross the street.,,,
348,reg,kühlen ,kühle,kühlst,kühlt,kühlen,kühlt,kühlen,kühlte,kühltest,kühlte,kühlten,kühltet,kühlten,gekühlt,,,"cool, refrigerate, chill",to cool,Ich kühle das Getränk.,I am cooling the drink.,,,
349,reg,kümmern,kümmere,kümmerst,kümmert,kümmern,kümmert,kümmern,kümmerte,kümmertest,kümmerte,kümmerten,kümmertet,kümmerten,gekümmert,sich,um (A),kümmern,to take care of/to look after,Er kümmert sich um die Pflanzen.,He is taking care of the plants.,x,,
350,reg,laben,labe,labst,labt,laben,labt,laben,labte,labtest,labte,labten,labtet,labten,gelabt,sich,,"comfort, refresh",to refresh/to revive,Das Wasser labte den Durstigen.,The water refreshed the thirsty one.,,,
351,reg,lachen,lache,lachst,lacht,lachen,lacht,lachen,lachte,lachtest,lachte,lachten,lachtet,lachten,gelacht,,über (A),lachen,to laugh,Sie lacht laut.,She is laughing loudly.,x,,
